3.09059476852417,
0.0056362152099609375,
0.015765905380249023,
0.0,
0.015592098236083984,
0.015642881393432617,
0.01721787452697754,
0.0,
0.0,
0.019629955291748047,
0.0005085468292236328,
0.010637521743774414,
0.015766620635986328,
0.015598535537719727,
0.0,
0.015651702880859375,
0.0,
0.016408205032348633,
0.006119489669799805,
0.010303735733032227,
0.014821529388427734,
0.0313725471496582,
0.04700827598571777,
0.020688772201538086,
0.011180877685546875,
0.015752792358398438,
0.0,
0.0,
0.015613555908203125,
0.015642642974853516,
0.015610456466674805,
0.002637624740600586,
0.0,
0.01849675178527832,
0.010633468627929688,
0.031255483627319336,
0.0,
0.01573014259338379,
0.0,
0.01552128791809082,
0.008635997772216797,
0.00931549072265625,
0.0032203197479248047,
0.010506153106689453,
0.0,
0.0,
0.01574230194091797,
0.015634775161743164,
0.01562190055847168,
0.05339550971984863,
0.056633949279785156,
0.03448176383972168,
0.0030171871185302734,
0.010007381439208984,
0.0,
0.0,
0.015770912170410156,
0.0,
0.015588760375976562,
0.0,
0.015591859817504883,
0.02667975425720215,
0.004613637924194336,
0.02262425422668457,
0.0,
0.009123563766479492,
0.0,
0.015736103057861328,
0.015589237213134766,
0.0,
0.015673160552978516,
0.0,
0.0,
0.016736984252929688,
0.015816211700439453,
0.004545927047729492,
0.01062917709350586,
0.0157625675201416,
0.015619993209838867,
0.05255722999572754,
0.041887521743774414,
0.0,
0.015691280364990234,
0.0,
0.01555180549621582,
0.0,
0.015751361846923828,
0.021255016326904297,
0.010653018951416016,
0.015761852264404297,
0.0,
0.015608549118041992,
0.015628337860107422,
0.0,
0.0,
0.017785310745239258,
0.0,
0.04507088661193848,
0.0,
0.0,
Average: 0.043087718486785886
